,time,id,mood,activity,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,call,screen,sms,circumplex.arousal,circumplex.valence
0,2014-03-21,AS14.01,0.5333333333333332,0.2432950714872727,0.4349871482297521,0.1194656414141994,0.0397900673988037,0.0,0.0355322603555145,0.0659599247711695,0.1767234381804113,0.3262822373533556,0.0,0.1935483870967742,0.8560567827401829,0.0,0.55,0.4202898550724637
1,2014-03-22,AS14.01,0.5666666666666667,0.2860355723119733,0.3893439901050198,0.0652660705558964,0.028358373967619848,0.0,0.01776613017775725,0.046480437663721,0.09697803034385215,0.17020882121573755,0.0,0.14516129032258063,0.5864763538128405,0.02941176470588235,0.6000000000000001,0.4685990338164251
2,2014-03-23,AS14.01,0.6333333333333333,0.25260176612224533,0.3725267539472057,0.04723994370003467,0.030524939817897834,0.0,0.011844086785171501,0.037665275532031736,0.07642233299600891,0.11347254747715836,0.0,0.09677419354838708,0.5074774493327708,0.019607843137254898,0.5833333333333334,0.5169082125603864
3,2014-03-24,AS14.01,0.5,0.23054884538252884,0.4244847944669,0.06439262888872024,0.029741557472738323,0.0,0.00904115319265405,0.03282679018560915,0.08890789348871597,0.12386360039259478,0.0,0.1532258064516129,0.5746944156151069,0.014705882352941175,0.5875,0.47665056360708524
4,2014-03-25,AS14.01,0.625,0.2254003534533901,0.4632214528819788,0.053131697038313344,0.03070880209714792,0.0,0.0072329225541232405,0.03610071355933086,0.0861741362219406,0.09909088031407583,0.01774559545244114,0.12258064516129033,0.6294176643301717,0.02352941176470588,0.595,0.4847020933977455
5,2014-03-26,AS14.01,0.5999999999999999,0.21546178097460209,0.49545035435427953,0.05083176145652618,0.031156464449160138,0.0,0.00012647048302033998,0.028273428435620702,0.08310135617644851,0.0338344328434047,0.01774559545244114,0.08387096774193549,0.6040713775090277,0.02352941176470588,0.575,0.5104669887278582
6,2014-03-27,AS14.01,0.6666666666666665,0.21014950048609693,0.5155588331984617,0.06378121675715949,0.0345525624429148,0.0,0.0078009212412503805,0.026093885009223477,0.08698781365696313,0.034592943871025114,0.01774559545244114,0.07741935483870968,0.6502067615535473,0.02352941176470588,0.5549999999999999,0.5297906602254427
7,2014-03-28,AS14.01,0.5666666666666667,0.21256856333358823,0.45978666927060896,0.08538811747935407,0.0419032521505341,0.006631749741790161,0.0078009212412503805,0.0345195527731616,0.08394529339918597,0.12045564952525459,0.01774559545244114,0.1096774193548387,0.6311138666964389,0.02352941176470588,0.515,0.50402576489533
8,2014-03-29,AS14.01,0.7999999999999998,0.20808901596203394,0.38140534175182295,0.10081457425423998,0.03642497006308214,0.006631749741790161,0.007674450758230041,0.04018897380475038,0.0623796155460762,0.09342197396216323,0.01774559545244114,0.07096774193548383,0.5594800528034664,0.03529411764705882,0.505,0.5684380032206119
9,2014-03-30,AS14.01,0.75,0.17905192552275556,0.2747941130131662,0.13561755607612336,0.02950941394412488,0.006631749741790161,0.007674450758230041,0.0344216106030829,0.048646371900681495,0.09342197396216323,0.00532801337218586,0.07096774193548383,0.4328040980769357,0.023529411764705882,0.45499999999999996,0.5845410628019323
10,2014-03-31,AS14.01,0.7333333333333334,0.1696887452101314,0.22943116288523716,0.15573943698548415,0.027730329548399258,0.008088118821184981,0.007674450758230041,0.043833743100263015,0.02696301462152808,0.10731911760848753,0.00767555480262532,0.10967741935483868,0.38626563432133204,0.023529411764705882,0.465,0.5845410628019323
11,2014-04-01,AS14.01,0.5,0.15574129801931175,0.225014856528675,0.1650195775681187,0.10894370108632252,0.01476838953531312,0.0038818455100612798,0.04728141753441506,0.057834466674245986,0.2260946390624631,0.00767555480262532,0.10322580645161288,0.4504293591128432,0.01176470588235294,0.465,0.5330112721417068
12,2014-04-02,AS14.01,0.5833333333333333,0.15861171650606848,0.3088785941759648,0.17304825645592098,0.1344206201085721,0.00813663979352296,0.007683565036361839,0.06036045865944093,0.0806952017912002,0.14023193340823364,0.00767555480262532,0.09677419354838708,0.5715250035640805,0.01176470588235294,0.5116666666666667,0.5501878690284487
13,2014-04-03,AS14.01,0.5666666666666667,0.15071529476449483,0.4711881384895542,0.16513180309760522,0.1466657194064907,0.00813663979352296,0.007683565036361839,0.06279847697504494,0.1017203336628981,0.13770434640611312,0.00767555480262532,0.09677419354838708,0.68656631583783,0.0,0.4416666666666667,0.48577563070316676
14,2014-04-04,AS14.01,0.5333333333333332,0.19154234374097928,0.5288185165217012,0.1653582937583399,0.1466657194064907,0.00813663979352296,0.007683565036361839,0.06845480236816252,0.11676063694915191,0.14969630799285333,0.00234754143043946,0.10967741935483868,0.7523142528600435,0.01176470588235294,0.47666666666666674,0.46323134728931825
15,2014-04-05,AS14.01,0.6333333333333333,0.21173558046337587,0.48106947559998875,0.12545441022851772,0.14003912797044338,0.006680270714128141,0.007683565036361839,0.05814220716686005,0.10901948007387488,0.15004218114002682,0.0,0.07096774193548384,0.6874584225880287,0.01176470588235294,0.4566666666666667,0.46323134728931825
16,2014-04-06,AS14.01,0.5833333333333333,0.19205838604482975,0.44311671429595395,0.10545153771031576,0.052044322331478245,0.0032557714729022197,0.00380171952630056,0.05802830812637529,0.0733351532339259,0.02768106764280696,0.0,0.09032258064516127,0.5843811406379184,0.01176470588235294,0.4091666666666667,0.4954374664519592
