,id,time,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,screen,sms,circumplex.arousal,circumplex.valence,mood
0,AS14.01,2014-03-21,0.24329507148727278,0.44754916116028626,0.43498714822975215,0.11946564141419944,0.03979006739880372,0.0,0.0355322603555145,0.06595992477116953,0.1767234381804113,0.32628223735335565,0.0,0.27223610577265056,0.0,0.1935483870967742,0.8560567827401829,0.0,0.55,0.42028985507246375,0.5333333333333332
1,AS14.01,2014-03-22,0.32877607313667395,0.11790262429084628,0.34370083198028756,0.01106649969759349,0.01692668053643604,0.0,0.0,0.027000950556272513,0.017232622507293023,0.014135405078119551,0.0,0.06541728246282795,0.0,0.0967741935483871,0.316895924885498,0.058823529411764705,0.65,0.5169082125603864,0.5666666666666667
2,AS14.01,2014-03-23,0.1857341537427894,0.17585664388251424,0.3388922816315776,0.011187689988311211,0.03485807151845386,0.0,0.0,0.020034951268653227,0.035310938300322406,0.0,0.0,0.016732933406250938,0.0928746277495915,0.0,0.34947964037263163,0.0,0.55,0.6135265700483091,0.6333333333333333
3,AS14.01,2014-03-24,0.16439008316337944,0.16910323202442537,0.5803589160259828,0.115850684454777,0.027391410437259806,0.0,0.0006323524151017723,0.018311334146341424,0.1263645749668372,0.15503675913890405,0.0,0.09564264647754388,0.0,0.3225806451612903,0.7763453144621151,0.0,0.6,0.35587761674718194,0.5
4,AS14.01,2014-03-25,0.20480638573683518,0.1685316426381587,0.618168086542294,0.008087969636685758,0.03457778059478636,0.0,0.0,0.049196407054217774,0.07523910715483914,0.0,0.08872797726220573,0.12396642045202057,0.0,0.0,0.848310659190431,0.058823529411764705,0.625,0.5169082125603864,0.625
5,AS14.01,2014-03-26,0.19360220909333264,0.2200333531614362,0.596131655591256,0.10796596350526365,0.0420283791588648,0.0,0.0,0.026823499152618703,0.1613595379529509,0.0,0.0,0.018556615139917656,0.0,0.0,0.7293253486344631,0.0,0.45,0.5491143317230274,0.5999999999999999
6,AS14.01,2014-03-27,0.30221467069414826,0.21627792543044816,0.44424322620119827,0.07581377620075998,0.033907170505209396,0.0,0.03837225379115021,0.016103233424286427,0.0366649099098661,0.017927960216221644,0.0,0.09957057550979523,0.0,0.06451612903225806,0.5475728451080958,0.058823529411764705,0.55,0.6135265700483091,0.6666666666666665
7,AS14.01,2014-03-28,0.19782946798024592,0.20041367434644372,0.06003146199231352,0.1192221935992841,0.07161152005655039,0.03315874870895084,0.0,0.062163290088343856,0.020098337011436682,0.42931352827114744,0.0,0.16780597183187576,0.0,0.16129032258064516,0.2540151660870898,0.0,0.35,0.4847020933977455,0.5666666666666667
8,AS14.01,2014-03-29,0.14199234630560792,0.14828237178791812,0.18845227843205287,0.1929829683292066,0.0,0.0,0.0,0.046658439304285385,0.01853618570128831,0.01986838132344722,0.0,0.3340563359147226,0.0,0.12903225806451613,0.418176244997252,0.058823529411764705,0.55,0.6779388083735909,0.7999999999999998
9,AS14.01,2014-03-30,0.05962093354044331,0.08081461884722577,0.08511194284901055,0.1821028787461026,0.0,0.0,0.0,0.020359591045880348,0.006572888927865648,0.0,0.026640066860929377,0.02129908986657535,0.0,0.0,0.21493088555777765,0.0,0.375,0.5974235104669887,0.75
10,AS14.01,2014-03-31,0.1467863075302117,0.27352034964527205,0.3693169049516106,0.20857536805206747,0.033132957180236705,0.007281845396974151,0.0,0.07388416163851938,0.052942751557183865,0.06948571823162154,0.01173770715219732,0.11696535132625155,0.0,0.1935483870967742,0.4966330298564452,0.0,0.5,0.5491143317230274,0.7333333333333334
11,AS14.01,2014-04-01,0.23247743474005,0.27022076734606376,0.42216169441838763,0.12221447911393277,0.43997402819482573,0.03340135357064071,0.019409227550306492,0.033341605595046675,0.19102217017345566,0.6118055674860994,0.0,0.2878936620580373,0.0,0.03225806451612903,0.8683914690656515,0.0,0.55,0.35587761674718194,0.5
